,state,total
1,California ,100039
2,Florida ,13867
3,Georgia ,37656
4,Illinois ,78729
5,Kansas ,48464
6,Louisiana ,11832
7,Maryland ,143
8,Michigan ,27728
9,Missouri ,28155
10,New York ,34368
11,Ohio ,42156
12,Pennsylvania ,150876
13,Tennessee ,18313
14,Texas ,110975
15,Alabama and Mississippi ,20989
16,Arizona and Colorado ,490
17,Arkansas and Oklahoma ,15421
18,Delaware and New Jersey ,55299
19,Indiana and Kentucky ,287377
20,North Carolina and South Carolina,79343
21,Connecticut Massachusetts Rhode Island ,8235
22,District of Columbia Virginia West Virginia ,2718
23,Idaho Oregon Washington ,24847
24,Maine New Hampshire Vermont,13856
25,Iowa Minnesota Nebraska Wisconsin,71358
26,Total ,1283234
